Date,Interest Rates (MPR),Interest Rates (AL),Total Liquidity/M2+,Private Sector Credit,Exchange Rates ,Exchange Rates,Commodity Prices,Commodity Prices ,Commodity Prices,CPI,Inflation
2000-01-01,27.0,37.50,492.90,,0.35,0.36,846.30,25.20,285.00,4.60,12.30
2000-02-01,27.0,37.5,496.60,,0.37,0.38,701.40,24.60,273.90,4.70,16.50
2000-03-01,27.0,37.5,514.70,,0.39,0.41,846.50,27.30,286.70,4.90,19.90
2000-04-01,27.0,37.5,528.90,,0.43,0.44,816.40,23.30,280.20,5.10,23.40
2000-05-01,27.0,37.5,544.50,,0.46,0.47,822.10,27.40,275.80,5.40,34.00
2000-06-01,27.0,38.5,564.70,,0.50,0.55,852.50,29.60,285.80,5.60,39.10
2000-07-01,27.0,45.0,587.90,,0.58,0.61,845.50,28.80,282.00,5.80,46.10
2000-08-01,27.0,47.8,600.70,,0.63,0.64,775.00,30.10,274.40,6.10,52.50
2000-09-01,27.0,47.8,627.00,,0.65,0.65,790.10,32.50,273.70,6.30,57.90
2000-10-01,27.0,47.5,641.80,,0.66,0.67,807.00,31.60,270.30,6.60,60.20
2000-11-01,27.0,47.0,692.70,,0.68,0.68,714.90,32.20,266.30,6.60,58.20
2000-12-01,27.0,47.0,724.80,400.00,0.64,0.69,717.90,26.70,271.30,6.90,62.20
2001-01-01,27.0,47.0,747.10,400.00,0.69,0.69,916.40,25.80,265.70,7.40,59.50
2001-02-01,27.0,47.0,751.50,400.00,0.69,0.70,1097.90,27.70,262.00,7.60,60.70
2001-03-01,27.0,47.0,756.20,400.00,0.71,0.71,1054.50,25.70,263.20,7.90,63.00
2001-04-01,27.0,47.0,762.10,400.00,0.71,0.71,1005.50,25.40,257.80,8.10,59.60
2001-05-01,27.0,47.0,765.80,400.00,0.71,0.72,1005.50,25.40,257.80,8.20,53.70
2001-06-01,27.0,47.0,771.10,400.00,0.72,0.72,923.70,26.70,273.00,8.30,48.10
2001-07-01,27.0,47.3,796.30,400.00,0.71,0.71,926.40,25.70,267.90,8.30,43.10
2001-08-01,27.0,47.8,807.70,400.00,0.71,0.71,997.50,25.80,273.20,8.10,33.90
2001-09-01,27.0,47.3,848.50,400.00,0.71,0.71,963.10,26.10,283.70,8.10,27.90
2001-10-01,27.0,47.0,898.50,400.00,0.71,0.71,1045.50,21.50,282.20,8.30,26.50
2001-11-01,27.0,45.7,966.20,400.00,0.71,0.72,1194.10,19.20,276.30,8.30,24.90
2001-12-01,27.0,43.8,1024.80,500.00,0.72,0.73,1290.20,19.30,276.30,8.30,20.90
2002-01-01,27.0,40.0,1043.70,500.00,0.73,0.73,1335.20,20.00,281.90,8.80,19.60
2002-02-01,27.0,40.0,1057.80,500.00,0.74,0.75,1439.00,20.20,296.00,8.70,14.90
2002-03-01,24.5,37.5,1074.50,500.00,0.76,0.76,1519.70,24.00,294.60,8.70,9.30
2002-04-01,24.5,35.0,1079.20,500.00,0.77,0.77,1530.50,26.00,303.10,8.70,7.40
2002-05-01,24.5,35.0,1102.90,500.00,0.78,0.78,1546.60,25.70,314.50,8.60,4.80
2002-06-01,24.5,34.0,1126.00,500.00,0.79,0.79,1525.90,24.50,322.10,8.60,3.90
2002-07-01,24.5,34.0,1165.00,500.00,0.80,0.81,1754.20,25.70,313.50,8.60,3.90
2002-08-01,24.5,34.0,1181.50,500.00,0.81,0.81,1855.60,26.30,310.50,8.80,7.80
2002-09-01,24.5,36.0,1213.60,600.00,0.81,0.81,2070.80,28.30,319.70,8.90,10.70
2002-10-01,24.5,36.0,1303.10,600.00,0.82,0.82,2151.40,27.50,316.50,9.10,9.30
2002-11-01,24.5,36.3,1432.60,600.00,0.81,0.83,1791.90,24.50,319.30,9.10,10.10
2002-12-01,24.5,38.5,1536.80,600.00,0.83,0.84,2013.70,27.40,333.40,9.30,12.00
2003-01-01,25.5,34.0,1540.80,600.00,0.84,0.85,2190.00,30.20,358.10,10.00,13.50
2003-02-01,25.5,34.0,1557.50,600.00,0.85,0.85,2255.80,32.40,359.80,11.00,25.50
